log_fci_size,one_norm,total_pstrings,n_qubits,n_elec,max_vertex_deg,min_vertex_deg,avg_vertex_deg,vertex_deg_std_dev,avg_edge_order,edge_order_std_dev,max_edge_weight,min_edge_weight,avg_edge_weight,edge_weight_std_dev,cisd,mp2,ccsd,ccsdt
10.78725509,41.51448076,2237,12,6,1449,695,1255.333333,269.4003629,6.734018775,2.361093256,12.77162695,1.20E-08,0.018558105,0.278708876,FALSE,FALSE,FALSE,FALSE
5.416100402,15.4086318,136,6,4,98,74,90,11.3137085,3.970588235,1.387661896,6.821875441,3.21E-05,0.113298763,0.630720544,TRUE,TRUE,TRUE,TRUE
10.78725509,34.73147152,1149,12,6,737,347,620,141.3400156,6.475195822,2.668930134,13.07068344,1.08E-06,0.030227564,0.401866489,TRUE,FALSE,TRUE,TRUE
27.96888576,325.1802658,26809,28,14,15339,3505,12750.42857,3301.289612,13.3168712,5.579710648,112.1650808,6.73E-07,0.012129519,0.703148345,FALSE,FALSE,FALSE,FALSE
13.81750956,93.49772266,1752,14,8,1124,470,882.2857143,212.8995164,7.050228311,2.951431422,37.68375438,1.06E-08,0.05336628,0.952577847,FALSE,FALSE,FALSE,FALSE
8.050703381,29.58191213,229,8,6,157,103,138.5,20.89856454,4.838427948,1.834913505,12.54326902,1.63E-05,0.129178656,0.894334546,TRUE,FALSE,TRUE,TRUE
6.66440902,12.02687402,97,8,4,53,29,42.5,8.874119675,3.505154639,1.301258006,4.802861313,2.81E-05,0.123988392,0.49704145,FALSE,FALSE,FALSE,FALSE
19.29770667,139.6048674,9313,20,10,5519,1847,4604.6,1146.775933,9.888542897,4.042992242,40.71691769,5.40E-07,0.014990322,0.431358791,FALSE,FALSE,FALSE,FALSE
27.96888576,263.5580296,30461,28,14,17449,4043,14360.42857,4142.346225,13.20022324,5.377291456,81.96705533,1.01E-08,0.00865231,0.478263358,FALSE,FALSE,FALSE,FALSE
19.29770667,68.78511984,8761,20,10,5255,1663,4342.2,1130.92288,9.912567059,4.090085707,24.71151623,1.00E-08,0.007851286,0.269925743,FALSE,FALSE,TRUE,TRUE
2.772588722,2.360239428,17,4,2,11,11,11,0,2.588235294,1.416658186,1.060297384,0.002106641,0.138837613,0.24491675,TRUE,TRUE,TRUE,TRUE
15.01318356,50.98229258,2953,16,8,2019,695,1563.5,401.0420801,8.471385032,3.130302182,17.67703447,2.97E-06,0.017264576,0.33471633,FALSE,FALSE,FALSE,TRUE
10.78725509,37.52196468,489,12,6,301,143,231,61.73059749,5.668711656,2.477849226,14.31654285,0.000149118,0.076732034,0.666847619,FALSE,FALSE,TRUE,TRUE
23.62006596,105.4072561,18493,24,12,10727,3001,8937.166667,2374.647617,11.5985508,5.020972837,35.87016253,1.00E-08,0.005699846,0.268812216,FALSE,FALSE,TRUE,TRUE
2.772588722,1.03666426,29,4,2,21,19,20,1,2.75862069,1.222072079,0.397835977,1.34E-07,0.035747043,0.072836936,TRUE,FALSE,TRUE,TRUE
15.01318356,66.5418077,3781,16,8,2395,877,1925,460.9430551,8.145993124,3.31568415,22.05864115,1.00E-08,0.017598997,0.369258116,FALSE,FALSE,FALSE,FALSE
