system,basis,CCSD
h_f,4z,-100.365348
h_f,4dz,-100.365348
h_f,5z,-100.376741
h_f,5dz,-100.376741
si_h2_singlet,2z,-290.135081
si_h2_singlet,2dz,-290.139321
si_h2_singlet,3z,-290.167017
si_h2_singlet,3dz,-290.168591
si_h2_singlet,4z,-290.175887
si_h2_singlet,4dz,-290.176786
si_h2_singlet,5z,-290.178726
si_h2_singlet,5dz,-290.17897
si_h2_triplet,2z,-290.105689
si_h2_triplet,2dz,-290.105689
si_h2_triplet,3z,-290.135534
si_h2_triplet,3dz,-290.136911
si_h2_triplet,4z,-290.144219
si_h2_triplet,4dz,-290.144977
si_h2_triplet,5z,-290.146773
si_h2_triplet,5dz,-290.146976
si_h3,2z,-290.745913
si_h3,2dz,-290.751287
si_h3,3z,-290.782927
si_h3,3dz,-290.785014
si_h3,4z,-290.793857
si_h3,4dz,-290.794999
si_h3,5z,-290.797191
si_h3,5dz,-290.797459
si_h4,2z,-291.390098
si_h4,2dz,-291.397274
si_h4,3z,-291.433492
si_h4,3dz,-291.436315
si_h4,4z,-291.446445
si_h4,4dz,-291.447985
si_h4,5z,-291.450502
si_h4,5dz,-291.450827
p_h2,2z,-342.005452
p_h2,2dz,-342.010352
p_h2,3z,-342.050804
p_h2,3dz,-342.052785
p_h2,4z,-342.063183
p_h2,4dz,-342.064373
p_h2,5z,-342.067259
p_h2,5dz,-342.067641
p_h3,2z,-342.633675
p_h3,2dz,-342.640124
p_h3,3z,-342.685768
p_h3,3dz,-342.688513
p_h3,4z,-342.700387
p_h3,4dz,-342.701995
p_h3,5z,-342.705344
p_h3,5dz,-342.705791
h2_s,2z,-398.861523
h2_s,2dz,-398.868198
h2_s,3z,-398.927526
h2_s,3dz,-398.930184
h2_s,4z,-398.946209
h2_s,4dz,-398.947886
h2_s,5z,-398.95242
h2_s,5dz,-398.953006
h_cl,2z,-460.252141
h_cl,2dz,-460.258588
h_cl,3z,-460.329559
h_cl,3dz,-460.331899
h_cl,4z,-460.352617
h_cl,4dz,-460.354187
h_cl,5z,-460.360005
h_cl,5dz,-460.360715
li2,2z,-14.900548
li2,2dz,-14.900548
li2,3z,-14.903162
li2,3dz,-14.903162
li2,4z,-14.903673
li2,4dz,-14.903673
li2,5z,-14.903795
li2,5dz,-14.903795
li_f,2z,-107.152227
li_f,2dz,-107.152227
li_f,3z,-107.255878
li_f,3dz,-107.255878
li_f,4z,-107.290797
li_f,4dz,-107.290797
li_f,5z,-107.302192
li_f,5dz,-107.302192
c2_h2,2z,-77.098107
c2_h2,2dz,-77.098107
c2_h2,3z,-77.171182
c2_h2,3dz,-77.171182
c2_h2,4z,-77.191602
c2_h2,4dz,-77.191602
c2_h2,5z,-77.197628
c2_h2,5dz,-77.197628
c2_h4,2z,-78.34485
c2_h4,2dz,-78.34485
c2_h4,3z,-78.42371
c2_h4,3dz,-78.42371
c2_h4,4z,-78.445364
c2_h4,4dz,-78.445364
c2_h4,5z,-78.451754
c2_h4,5dz,-78.451754
c2_h6,2z,-79.573658
c2_h6,2dz,-79.573658
c2_h6,3z,-79.660968
c2_h6,3dz,-79.660968
c2_h6,4z,-79.683998
c2_h6,4dz,-79.683998
c2_h6,5z,-79.690729
c2_h6,5dz,-79.690729
c_n,2z,-92.476755
c_n,2dz,-92.476755
c_n,3z,-92.547511
c_n,3dz,-92.547511
c_n,4z,-92.57019
c_n,4dz,-92.57019
c_n,5z,-92.577087
c_n,5dz,-92.577087
h_c_n,2z,-93.176426
h_c_n,2dz,-93.176426
h_c_n,3z,-93.257249
h_c_n,3dz,-93.257249
h_c_n,4z,-93.28191
h_c_n,4dz,-93.28191
h_c_n,5z,-93.28941
h_c_n,5dz,-93.28941
c_o,2z,-113.043969
c_o,2dz,-113.043969
c_o,3z,-113.138357
c_o,3dz,-113.138357
c_o,4z,-113.168992
c_o,4dz,-113.168992
c_o,5z,-113.178648
c_o,5dz,-113.178648
h_c_o,2z,-113.56531
h_c_o,2dz,-113.56531
h_c_o,3z,-113.666772
h_c_o,3dz,-113.666772
h_c_o,4z,-113.698796
h_c_o,4dz,-113.698796
h_c_o,5z,-113.709014
h_c_o,5dz,-113.709014
h2_c_o,2z,-114.208403
h2_c_o,2dz,-114.208403
h2_c_o,3z,-114.317294
h2_c_o,3dz,-114.317294
h2_c_o,4z,-114.3507
h2_c_o,4dz,-114.3507
h2_c_o,5z,-114.361346
h2_c_o,5dz,-114.361346
h3_c_o_h,2z,-115.412176
h3_c_o_h,2dz,-115.412176
h3_c_o_h,3z,-115.536003
h3_c_o_h,3dz,-115.536003
h3_c_o_h,4z,-115.572283
h3_c_o_h,4dz,-115.572283
h3_c_o_h,5z,-115.583897
h3_c_o_h,5dz,-115.583897
n2,2z,-109.263383
n2,2dz,-109.263383
n2,3z,-109.355359
n2,3dz,-109.355359
n2,4z,-109.384211
n2,4dz,-109.384211
n2,5z,-109.39339
