molecule_name,max_vertex_degree,min_vertex_degree,mean_vertex_degree,std_dev_vertex_degree,max_weight,min_weight,mean_weight,std_dev_weight,max_edge_order,min_edge_order,mean_edge_order,std_dev_edge_order,one_norm,number_of_terms,log_fci_dim,n_elec,n_orbs,df_gap,SHCI,CCSDT,error,solved
si_h3_cc-pVDZ,113251,17541,88432.09090909091,28714.163178688348,35.36567085146207,1.000984213533617e-08,0.002181294,0.087053326,33,1,14.894776062268726,6.078152369,484.6161017419258,195926,14.728736468603191,17,33,9.352282226646922,-290.7487578,-290.748092,0.000665824,TRUE
o_h_cc-pVDZ,3719,1169,2932.894736842105,683.9108817549444,6.360028877685924,1.4467720064631237e-07,0.034037524,0.2095434165949075,19,1,9.232107356,3.892011018372903,210.69320911230167,6037,7.653888791477118,9,19,10.473958103065186,-75.55969042,-75.559234,0.000456418,TRUE
h3_c_o_h_cc-pVDZ,396546,48182,292349.0833333333,97396.43214,5.811815763848702,1.000046700321401e-08,0.001527264,0.042106404,48,1,20.50565219424376,8.975140152843386,1096.5288041811318,684337,18.44912136,18,48,8.915455180710863,-115.4210293,-115.41986,0.001169328,TRUE
li2_cc-pVDZ,17596,3438,14488.92857142857,4181.102605162658,1.991281640335852,1.5671038069309517e-08,0.006539282,0.061798745,28,1,12.953065134099615,5.484300726794015,225.2131655838764,31321,7.030687786176761,6,28,3.797029358182132,-14.90054725,-14.900548,7.457343205174993e-07,TRUE
c_o2_cc-pVDZ,73986,8374,57879.42857142857,17752.062202329456,5.609926293256772,1.0008846924842174e-08,0.005438564,0.079487578,41,1,18.33520134557221,8.415985772832249,725.1099506215384,132584,19.263001456956992,22,42,7.349626109888032,-188.1495382,-188.147414,0.002124196,FALSE
Mn1_vdz,109110,12932,88326.29629629629,27455.350372201712,11.783375970188056,1.2592315800505072e-08,0.007870615,0.1377499113896543,53,1,22.472449032476923,11.114749675554853,1787.6651034346244,212244,15.878987548857342,14,54,26.85306383039846,-103.67336,-103.6731336,0.000226368,TRUE
si_h4_cc-pVDZ,209676,29512,165270.05263157896,51899.09452711167,34.98563330530755,1.0024083041559904e-08,0.001563547,0.065074763,38,1,17.123114968195413,7.308009481447897,621.2676998873953,366772,16.424437233437114,18,38,9.257493912336477,-291.3931832,-291.392525,0.000658233,TRUE
o2_cc-pVDZ,16920,3138,13739.357142857143,4083.854448699569,6.239570765073553,1.0175708085913537e-08,0.011825727,0.1252768907158118,28,1,12.913796576032226,5.489416194032002,362.9151094944155,29791,12.912649542466516,16,28,7.096585872509399,-149.9877889,-149.98561,0.002178901,FALSE
s_cc-pVDZ,1480,448,1204.7777777777778,308.9279951264364,48.90243873825043,1.4915165773021175e-05,0.076140522,0.9652319361254168,17,1,7.894430287586458,3.778417855898823,323.23449956072614,2748,9.189569720287675,16,18,12.873236200778727,-397.6009142,-397.60051,0.000404221,TRUE
n_h_cc-pVDZ,3719,1169,2932.894736842105,683.9108817549444,3.929607665512113,5.601153261419024e-08,0.031435924,0.1896077768216659,19,1,9.232107356,3.892011018372903,200.5095255633226,6037,7.051828800149155,8,19,8.938480291360015,-55.09166908,-55.091247,0.00042208,TRUE
c2_h4_cc-pVDZ,273724,35286,208684.4583333333,66109.76262151652,5.1466546818796814,1.0008712065245541e-08,0.002251118,0.050222608,48,1,21.35698690887382,9.427916236727784,1120.8249282948598,469021,17.153486393028327,16,48,9.640037481,-78.35588037,-78.354582,0.001298369,TRUE
